Period,Teacher,RoomID,Occupancy,Mote,TeacherMote
2,xxx,xxx,8,10013,0
7,xxx,xxx,8,10013,0
8,xxx,xxx,8,10013,0
7,xxx,xxx,7,10013,0
8,xxx,xxx,9,10013,0
0,xxx,xxx,8,10059,723
0,xxx,xxx,8,10120,656
1,xxx,xxx,12,10120,656
2,xxx,xxx,11,10120,656
8,xxx,xxx,7,10120,656
0,xxx,xxx,9,10165,1
0,xxx,xxx,8,10029,90
1,xxx,xxx,13,10029,90
2,xxx,xxx,13,10029,90
6,xxx,xxx,13,10029,90
0,xxx,xxx,8,10096,163
8,xxx,xxx,11,10096,163
1,xxx,xxx,6,10096,163
6,xxx,xxx,6,10096,163
0,xxx,xxx,10,10122,741
7,xxx,xxx,16,10122,741
8,xxx,xxx,16,10122,741
2,xxx,xxx,13,10122,741
0,xxx,xxx,7,10136,526
6,xxx,xxx,11,10136,526
1,xxx,xxx,6,10136,526
0,xxx,xxx,8,10005,257
7,xxx,xxx,10,10005,257
8,xxx,xxx,15,10005,257
6,xxx,xxx,17,10005,257
0,xxx,xxx,7,10121,0
7,xxx,xxx,11,10121,0
1,xxx,xxx,16,10121,0
2,xxx,xxx,14,10121,0
6,xxx,xxx,16,10121,0
0,xxx,xxx,7,10113,347
7,xxx,xxx,9,10113,347
2,xxx,xxx,12,10113,347
0,xxx,xxx,6,10146,640
2,xxx,xxx,12,10146,640
1,xxx,xxx,18,10146,640
7,xxx,xxx,11,10146,640
8,xxx,xxx,12,10146,640
0,xxx,xxx,8,10007,328
6,xxx,xxx,11,10007,328
8,xxx,xxx,18,10007,328
1,xxx,xxx,16,10007,328
2,xxx,xxx,17,10007,328
0,xxx,xxx,8,10112,784
1,xxx,xxx,16,10112,784
6,xxx,xxx,15,10112,784
8,xxx,xxx,12,10112,784
0,xxx,xxx,7,10137,0
1,xxx,xxx,15,10137,0
6,xxx,xxx,15,10137,0
0,xxx,xxx,8,10127,430
1,xxx,xxx,18,10127,430
2,xxx,xxx,17,10127,430
6,xxx,xxx,10,10127,430
0,xxx,xxx,10,10131,371
2,xxx,xxx,11,10131,371
7,xxx,xxx,10,10131,371
8,xxx,xxx,7,10131,371
6,xxx,xxx,4,10131,371
0,xxx,xxx,9,10104,742
1,xxx,xxx,15,10104,742
6,xxx,xxx,17,10104,742
7,xxx,xxx,13,10104,742
1,xxx,xxx,15,10108,429
2,xxx,xxx,15,10108,429
6,xxx,xxx,15,10108,429
7,xxx,xxx,12,10108,429
0,xxx,xxx,9,10118,69
1,xxx,xxx,15,10118,69
2,xxx,xxx,15,10118,69
6,xxx,xxx,14,10118,69
0,xxx,xxx,9,10132,389
7,xxx,xxx,12,10132,389
8,xxx,xxx,8,10132,389
0,xxx,xxx,8,10049,580
8,xxx,xxx,18,10049,580
1,xxx,xxx,10,10049,580
5,xxx,xxx,14,10049,580
7,xxx,xxx,13,10049,580
0,xxx,xxx,7,10022,786
1,xxx,xxx,16,10022,786
2,xxx,xxx,16,10022,786
5,xxx,xxx,13,10022,786
7,xxx,xxx,11,10022,786
0,xxx,xxx,8,10017,41
2,xxx,xxx,18,10017,41
8,xxx,xxx,17,10017,41
7,xxx,xxx,17,10017,41
0,xxx,xxx,7,10152,0
2,xxx,xxx,18,10152,0
6,xxx,xxx,18,10152,0
8,xxx,xxx,13,10152,0
5,xxx,xxx,15,10020,146
7,xxx,xxx,14,10020,146
2,xxx,xxx,12,10020,146
0,xxx,xxx,8,10021,711
8,xxx,xxx,8,10021,711
2,xxx,xxx,15,10021,711
7,xxx,xxx,14,10021,711
0,xxx,xxx,8,10082,0
1,xxx,xxx,14,10082,0
2,xxx,xxx,13,10082,0
8,xxx,xxx,10,10082,0
5,xxx,xxx,13,10082,0
0,xxx,xxx,9,10041,721
1,xxx,xxx,12,10041,721
7,xxx,xxx,13,10041,721
2,xxx,xxx,15,10041,721
0,xxx,xxx,8,10151,11
5,xxx,xxx,13,10151,11
7,xxx,xxx,11,10151,11
1,xxx,xxx,16,10151,11
0,xxx,xxx,10,10001,296
5,xxx,xxx,16,10001,296
7,xxx,xxx,10,10001,296
1,xxx,xxx,14,10001,296
0,xxx,xxx,9,10034,434
1,xxx,xxx,11,10034,434
5,xxx,xxx,13,10034,434
7,xxx,xxx,13,10034,434
2,xxx,xxx,11,10034,434
0,xxx,xxx,9,10011,33
2,xxx,xxx,17,10011,33
5,xxx,xxx,17,10011,33
7,xxx,xxx,18,10011,33
8,xxx,xxx,13,10011,33
0,xxx,xxx,8,10028,550
0,xxx,xxx,8,10028,649
0,xxx,xxx,8,10010,53
0,xxx,xxx,9,10071,316
0,xxx,xxx,9,10115,566
0,xxx,xxx,7,10052,624
0,xxx,xxx,7,10163,433
0,xxx,xxx,8,10018,766
0,xxx,xxx,7,10123,96
0,xxx,xxx,7,10046,115
0,xxx,xxx,7,10027,14
0,xxx,xxx,9,10028,68
0,xxx,xxx,9,10055,787
0,xxx,xxx,8,10124,738
