661,student
662,student
663,student
664,teacher
665,student
666,student
667,student
668,student
669,student
670,student
671,student
672,student
673,staff
674,staff
675,student
676,student
677,student
678,student
679,student
680,teacher
681,staff
682,student
683,student
684,student
685,student
686,student
687,student
688,student
689,student
690,student
691,student
692,student
693,staff
694,student
695,student
696,student
697,teacher
698,teacher
699,student
700,student
701,student
702,student
703,student
704,student
705,staff
706,staff
707,student
708,student
709,student
710,student
711,teacher
712,student
713,student
714,staff
715,student
716,student
717,student
718,student
719,student
720,student
721,teacher
722,student
723,teacher
724,student
725,student
726,student
727,staff
728,student
729,student
730,student
731,teacher
732,student
733,student
734,student
735,student
736,student
737,student
738,teacher
739,staff
740,student
741,teacher
742,teacher
743,student
744,staff
745,student
746,student
747,student
748,student
749,student
750,student
751,student
752,staff
753,teacher
754,student
755,teacher
756,student
757,student
758,student
759,student
760,student
761,student
762,student
763,student
764,student
765,student
766,teacher
767,student
768,staff
769,student
770,student
771,student
772,student
773,student
774,student
775,student
776,student
777,student
778,student
779,student
780,student
781,student
782,student
783,student
784,teacher
785,student
786,teacher
787,other
788,student
789,student
